game_name,iwad,pwad,complevel,release_date,episode_name,episode_number,mission_name,mission_number,level_number,is_secret
Antaresian Reliquary,DOOM2.WAD,ANTA_REQ.WAD,3,2020-06-15,Antaresian Reliquary,1,Moonstriker's Outpost,1,1,false
Antaresian Reliquary,DOOM2.WAD,ANTA_REQ.WAD,3,2020-06-15,Antaresian Reliquary,1,A Forlorn Outpost,2,2,false
Antaresian Reliquary,DOOM2.WAD,ANTA_REQ.WAD,3,2020-06-15,Antaresian Reliquary,1,Harvester's Reminiscence,3,3,false
Antaresian Reliquary,DOOM2.WAD,ANTA_REQ.WAD,3,2020-06-15,Antaresian Reliquary,1,Purgatorial Technologies,4,4,false
Antaresian Reliquary,DOOM2.WAD,ANTA_REQ.WAD,3,2020-06-15,Antaresian Reliquary,1,Alpha Scorpii Supercluster,5,5,false
Antaresian Reliquary,DOOM2.WAD,ANTA_REQ.WAD,3,2020-06-15,Antaresian Reliquary,1,The Kerberos Complex,6,6,false
Antaresian Reliquary,DOOM2.WAD,ANTA_REQ.WAD,3,2020-06-15,Antaresian Reliquary,1,The Eclipse of Betelgeuse,7,31,false
